geno,plot,cover,Stover,yield.2014,spatial
34A89,104,B,LS,8.95,19
A632 X W438,104,B,LS,5.51,22
A641Ht X Mo17,104,B,LS,4.48,17
B73 X Mo17,104,B,LS,3.1,14
F2F665,104,B,LS,7.58,15
M14 X W32 X W182B X W182D,104,B,LS,2.52,24
P0448R,104,B,LS,4.51,20
W64A X A619,104,B,LS,2.46,18
W64Abm3 X A619bm3,104,B,LS,4.96,16
W9 X W13R X WR3 W26,104,B,LS,0.81,13
Wf9 X A635 X M14 X C123,104,B,LS,4.94,23
WM13R X WR3 X W23 X W26,104,B,LS,6.33,21
34A89,104,C,LS,8.39,27
A632 X W438,104,C,LS,1.07,25
A641Ht X Mo17,104,C,LS,0.61,35
B73 X Mo17,104,C,LS,3.14,26
F2F665,104,C,LS,4.12,30
M14 X W32 X W182B X W182D,104,C,LS,0.83,36
P0448R,104,C,LS,3.36,31
W64A X A619,104,C,LS,1.16,29
W64Abm3 X A619bm3,104,C,LS,2.66,33
W9 X W13R X WR3 W26,104,C,LS,2,32
Wf9 X A635 X M14 X C123,104,C,LS,2.12,28
WM13R X WR3 X W23 X W26,104,C,LS,0.94,34
34A89,104,R,LS,9.59,3
A632 X W438,104,R,LS,5.16,1
A641Ht X Mo17,104,R,LS,2.01,6
B73 X Mo17,104,R,LS,4.95,8
F2F665,104,R,LS,7.93,4
M14 X W32 X W182B X W182D,104,R,LS,5.71,9
P0448R,104,R,LS,2.67,10
W64A X A619,104,R,LS,4.25,7
W64Abm3 X A619bm3,104,R,LS,0.81,2
W9 X W13R X WR3 W26,104,R,LS,1.33,5
Wf9 X A635 X M14 X C123,104,R,LS,2.15,12
WM13R X WR3 X W23 X W26,104,R,LS,1.42,11
34A89,108,B,RS,6.01,34
A632 X W438,108,B,RS,5.82,28
A641Ht X Mo17,108,B,RS,3.47,33
B73 X Mo17,108,B,RS,1.41,36
F2F665,108,B,RS,6.26,30
M14 X W32 X W182B X W182D,108,B,RS,4.06,32
P0448R,108,B,RS,1.4,35
W64A X A619,108,B,RS,3.07,29
W64Abm3 X A619bm3,108,B,RS,1.52,25
W9 X W13R X WR3 W26,108,B,RS,3.85,26
Wf9 X A635 X M14 X C123,108,B,RS,4.66,27
WM13R X WR3 X W23 X W26,108,B,RS,1.22,31
34A89,108,C,RS,6.87,21
A632 X W438,108,C,RS,4.92,23
A641Ht X Mo17,108,C,RS,6.1,18
B73 X Mo17,108,C,RS,4.79,22
F2F665,108,C,RS,8.5,14
M14 X W32 X W182B X W182D,108,C,RS,4.19,16
P0448R,108,C,RS,6.55,20
W64A X A619,108,C,RS,6.88,13
W64Abm3 X A619bm3,108,C,RS,3.24,15
W9 X W13R X WR3 W26,108,C,RS,4.49,24
Wf9 X A635 X M14 X C123,108,C,RS,3.78,17
WM13R X WR3 X W23 X W26,108,C,RS,3.03,19
34A89,108,R,RS,8.85,5
A632 X W438,108,R,RS,6.01,2
A641Ht X Mo17,108,R,RS,7.43,6
B73 X Mo17,108,R,RS,3.64,11
F2F665,108,R,RS,3.52,10
M14 X W32 X W182B X W182D,108,R,RS,6.43,7
P0448R,108,R,RS,5.97,8
W64A X A619,108,R,RS,4.65,1
W64Abm3 X A619bm3,108,R,RS,3.5,9
W9 X W13R X WR3 W26,108,R,RS,3.55,4
Wf9 X A635 X M14 X C123,108,R,RS,4.89,12
WM13R X WR3 X W23 X W26,108,R,RS,3.78,3
34A89,202,B,LS,6.8,3
A632 X W438,202,B,LS,3.15,12
A641Ht X Mo17,202,B,LS,6.9,8
B73 X Mo17,202,B,LS,3.58,4
F2F665,202,B,LS,6.79,7
M14 X W32 X W182B X W182D,202,B,LS,1.02,1
P0448R,202,B,LS,6.1,11
W64A X A619,202,B,LS,3.72,2
W64Abm3 X A619bm3,202,B,LS,1.8,5
W9 X W13R X WR3 W26,202,B,LS,5.82,9
Wf9 X A635 X M14 X C123,202,B,LS,1.01,6
WM13R X WR3 X W23 X W26,202,B,LS,3.65,10
34A89,202,C,LS,9.18,28
A632 X W438,202,C,LS,4.34,31
A641Ht X Mo17,202,C,LS,3.43,36
B73 X Mo17,202,C,LS,4.51,29
F2F665,202,C,LS,7.25,33
M14 X W32 X W182B X W182D,202,C,LS,5.55,27
P0448R,202,C,LS,4.64,25
W64A X A619,202,C,LS,2.56,34
W64Abm3 X A619bm3,202,C,LS,1.54,35
W9 X W13R X WR3 W26,202,C,LS,3.14,32
Wf9 X A635 X M14 X C123,202,C,LS,2.85,30
WM13R X WR3 X W23 X W26,202,C,LS,1.83,26
34A89,202,R,LS,11.17,17
A632 X W438,202,R,LS,3.23,18
A641Ht X Mo17,202,R,LS,7.9,20
B73 X Mo17,202,R,LS,3.67,24
F2F665,202,R,LS,8.54,21
M14 X W32 X W182B X W182D,202,R,LS,5.63,19
P0448R,202,R,LS,6.71,23
W64A X A619,202,R,LS,3.23,13
W64Abm3 X A619bm3,202,R,LS,5.58,16
W9 X W13R X WR3 W26,202,R,LS,5.35,15
Wf9 X A635 X M14 X C123,202,R,LS,6.28,14
WM13R X WR3 X W23 X W26,202,R,LS,3.41,22
34A89,205,B,RS,3.92,12
A632 X W438,205,B,RS,5.24,9
A641Ht X Mo17,205,B,RS,0.6,2
B73 X Mo17,205,B,RS,2.28,3
F2F665,205,B,RS,6.06,10
M14 X W32 X W182B X W182D,205,B,RS,3.09,7
P0448R,205,B,RS,2.63,6
W64A X A619,205,B,RS,4.89,4
W64Abm3 X A619bm3,205,B,RS,3.35,11
W9 X W13R X WR3 W26,205,B,RS,1.64,8
Wf9 X A635 X M14 X C123,205,B,RS,0.89,1
WM13R X WR3 X W23 X W26,205,B,RS,2.79,5
34A89,205,C,RS,7.79,15
A632 X W438,205,C,RS,8.47,17
A641Ht X Mo17,205,C,RS,7.63,20
B73 X Mo17,205,C,RS,7.83,16
F2F665,205,C,RS,8.47,14
M14 X W32 X W182B X W182D,205,C,RS,4.62,13
P0448R,205,C,RS,10.1,21
W64A X A619,205,C,RS,9.47,22
W64Abm3 X A619bm3,205,C,RS,5.71,24
W9 X W13R X WR3 W26,205,C,RS,2.97,19
Wf9 X A635 X M14 X C123,205,C,RS,2.31,18
WM13R X WR3 X W23 X W26,205,C,RS,5.03,23
34A89,205,R,RS,8.62,33
A632 X W438,205,R,RS,1.37,25
A641Ht X Mo17,205,R,RS,7.69,29
B73 X Mo17,205,R,RS,2.3,36
F2F665,205,R,RS,7.08,32
M14 X W32 X W182B X W182D,205,R,RS,6.71,27
P0448R,205,R,RS,2.71,30
W64A X A619,205,R,RS,4.13,35
W64Abm3 X A619bm3,205,R,RS,3.2,26
W9 X W13R X WR3 W26,205,R,RS,1.21,31
Wf9 X A635 X M14 X C123,205,R,RS,4.84,34
WM13R X WR3 X W23 X W26,205,R,RS,4.74,28
34A89,305,B,RS,0.98,6
A632 X W438,305,B,RS,0.62,3
A641Ht X Mo17,305,B,RS,0,2
B73 X Mo17,305,B,RS,0.79,1
F2F665,305,B,RS,2.27,8
M14 X W32 X W182B X W182D,305,B,RS,1.67,10
P0448R,305,B,RS,1.04,11
W64A X A619,305,B,RS,1.14,5
W64Abm3 X A619bm3,305,B,RS,0.71,9
W9 X W13R X WR3 W26,305,B,RS,0.77,12
Wf9 X A635 X M14 X C123,305,B,RS,0.77,7
WM13R X WR3 X W23 X W26,305,B,RS,0,4
34A89,305,C,RS,5.14,23
A632 X W438,305,C,RS,3.92,20
A641Ht X Mo17,305,C,RS,1.5,13
B73 X Mo17,305,C,RS,3.95,21
F2F665,305,C,RS,8.36,16
M14 X W32 X W182B X W182D,305,C,RS,2.53,22
P0448R,305,C,RS,0.18,24
W64A X A619,305,C,RS,2.56,15
W64Abm3 X A619bm3,305,C,RS,0.87,14
W9 X W13R X WR3 W26,305,C,RS,0.35,19
Wf9 X A635 X M14 X C123,305,C,RS,1.28,17
WM13R X WR3 X W23 X W26,305,C,RS,0.18,18
34A89,305,R,RS,9.59,27
A632 X W438,305,R,RS,4.2,26
A641Ht X Mo17,305,R,RS,2.24,31
B73 X Mo17,305,R,RS,2.53,34
F2F665,305,R,RS,4.98,29
M14 X W32 X W182B X W182D,305,R,RS,3.98,33
P0448R,305,R,RS,4.58,28
W64A X A619,305,R,RS,0.64,30
W64Abm3 X A619bm3,305,R,RS,2.31,32
W9 X W13R X WR3 W26,305,R,RS,0.66,35
Wf9 X A635 X M14 X C123,305,R,RS,1,25
WM13R X WR3 X W23 X W26,305,R,RS,0.67,36
34A89,311,B,LS,3.35,34
A632 X W438,311,B,LS,2.27,29
A641Ht X Mo17,311,B,LS,0,31
B73 X Mo17,311,B,LS,0.94,36
F2F665,311,B,LS,5.9,30
M14 X W32 X W182B X W182D,311,B,LS,0.58,35
P0448R,311,B,LS,1.79,25
W64A X A619,311,B,LS,0.98,33
W64Abm3 X A619bm3,311,B,LS,0.28,26
W9 X W13R X WR3 W26,311,B,LS,2.32,32
Wf9 X A635 X M14 X C123,311,B,LS,4.33,28
WM13R X WR3 X W23 X W26,311,B,LS,3.28,27
34A89,311,C,LS,4.43,1
A632 X W438,311,C,LS,0.73,7
A641Ht X Mo17,311,C,LS,5.01,5
B73 X Mo17,311,C,LS,1.07,12
F2F665,311,C,LS,7.1,10
M14 X W32 X W182B X W182D,311,C,LS,2.75,6
P0448R,311,C,LS,0.6,2
W64A X A619,311,C,LS,6.09,8
W64Abm3 X A619bm3,311,C,LS,2.78,3
W9 X W13R X WR3 W26,311,C,LS,1.53,9
Wf9 X A635 X M14 X C123,311,C,LS,2.94,4
WM13R X WR3 X W23 X W26,311,C,LS,0,11
34A89,311,R,LS,7.02,16
A632 X W438,311,R,LS,2.15,24
A641Ht X Mo17,311,R,LS,1.23,23
B73 X Mo17,311,R,LS,8.05,20
F2F665,311,R,LS,5.87,17
M14 X W32 X W182B X W182D,311,R,LS,3,15
P0448R,311,R,LS,0.87,21
W64A X A619,311,R,LS,0.32,18
W64Abm3 X A619bm3,311,R,LS,1.52,19
W9 X W13R X WR3 W26,311,R,LS,0,14
Wf9 X A635 X M14 X C123,311,R,LS,1.68,13
WM13R X WR3 X W23 X W26,311,R,LS,0,22
34A89,409,B,LS,9.91,9
A632 X W438,409,B,LS,5.09,7
A641Ht X Mo17,409,B,LS,4.69,8
B73 X Mo17,409,B,LS,2.65,10
F2F665,409,B,LS,3.19,1
M14 X W32 X W182B X W182D,409,B,LS,0,2
P0448R,409,B,LS,0.21,4
W64A X A619,409,B,LS,4.83,11
W64Abm3 X A619bm3,409,B,LS,2.04,6
W9 X W13R X WR3 W26,409,B,LS,3.22,12
Wf9 X A635 X M14 X C123,409,B,LS,0.99,3
WM13R X WR3 X W23 X W26,409,B,LS,0.67,5
34A89,409,C,LS,8.25,20
A632 X W438,409,C,LS,6.86,18
A641Ht X Mo17,409,C,LS,2.87,13
B73 X Mo17,409,C,LS,4.78,19
F2F665,409,C,LS,8.42,23
M14 X W32 X W182B X W182D,409,C,LS,6.15,16
P0448R,409,C,LS,9.16,21
W64A X A619,409,C,LS,3.94,24
W64Abm3 X A619bm3,409,C,LS,2.83,17
W9 X W13R X WR3 W26,409,C,LS,2.51,15
Wf9 X A635 X M14 X C123,409,C,LS,4.43,14
WM13R X WR3 X W23 X W26,409,C,LS,3.08,22
34A89,409,R,LS,8.37,36
A632 X W438,409,R,LS,3.17,31
A641Ht X Mo17,409,R,LS,6.01,35
B73 X Mo17,409,R,LS,5,34
F2F665,409,R,LS,10.28,28
M14 X W32 X W182B X W182D,409,R,LS,5.89,27
P0448R,409,R,LS,3.91,32
W64A X A619,409,R,LS,1.73,25
W64Abm3 X A619bm3,409,R,LS,2.57,30
W9 X W13R X WR3 W26,409,R,LS,4.37,29
Wf9 X A635 X M14 X C123,409,R,LS,4.4,33
WM13R X WR3 X W23 X W26,409,R,LS,1.35,26
34A89,410,B,RS,6.8,17
A632 X W438,410,B,RS,6.85,21
A641Ht X Mo17,410,B,RS,5.27,20
B73 X Mo17,410,B,RS,0.83,24
F2F665,410,B,RS,4.62,18
M14 X W32 X W182B X W182D,410,B,RS,5.09,14
P0448R,410,B,RS,5.96,13
W64A X A619,410,B,RS,1.19,23
W64Abm3 X A619bm3,410,B,RS,2.98,19
W9 X W13R X WR3 W26,410,B,RS,1.77,22
Wf9 X A635 X M14 X C123,410,B,RS,2.14,16
WM13R X WR3 X W23 X W26,410,B,RS,2.85,15
34A89,410,C,RS,7.19,33
A632 X W438,410,C,RS,3.78,27
A641Ht X Mo17,410,C,RS,1.77,31
B73 X Mo17,410,C,RS,2.31,28
F2F665,410,C,RS,4.35,29
M14 X W32 X W182B X W182D,410,C,RS,3.39,32
P0448R,410,C,RS,3.59,34
W64A X A619,410,C,RS,0.67,30
W64Abm3 X A619bm3,410,C,RS,3.72,25
W9 X W13R X WR3 W26,410,C,RS,1.55,36
Wf9 X A635 X M14 X C123,410,C,RS,6.34,26
WM13R X WR3 X W23 X W26,410,C,RS,1.76,35
34A89,410,R,RS,4.54,1
A632 X W438,410,R,RS,5.65,10
A641Ht X Mo17,410,R,RS,2.11,4
B73 X Mo17,410,R,RS,5.65,7
F2F665,410,R,RS,4.4,9
M14 X W32 X W182B X W182D,410,R,RS,4.5,8
P0448R,410,R,RS,7.33,6
W64A X A619,410,R,RS,0.73,12
W64Abm3 X A619bm3,410,R,RS,2.28,5
W9 X W13R X WR3 W26,410,R,RS,1.42,11
Wf9 X A635 X M14 X C123,410,R,RS,8,2
WM13R X WR3 X W23 X W26,410,R,RS,2.08,3
34A89,507,B,RS,9.61,8
A632 X W438,507,B,RS,4.32,5
A641Ht X Mo17,507,B,RS,2.08,1
B73 X Mo17,507,B,RS,2.05,6
F2F665,507,B,RS,8.47,7
M14 X W32 X W182B X W182D,507,B,RS,3.57,10
P0448R,507,B,RS,7.92,11
W64A X A619,507,B,RS,5.75,9
W64Abm3 X A619bm3,507,B,RS,2.79,3
W9 X W13R X WR3 W26,507,B,RS,4.61,2
Wf9 X A635 X M14 X C123,507,B,RS,1.76,4
WM13R X WR3 X W23 X W26,507,B,RS,3.63,12
34A89,507,C,RS,9.99,19
A632 X W438,507,C,RS,6.43,18
A641Ht X Mo17,507,C,RS,3.26,13
B73 X Mo17,507,C,RS,3.86,24
F2F665,507,C,RS,8.7,22
M14 X W32 X W182B X W182D,507,C,RS,5.35,21
P0448R,507,C,RS,7.85,23
W64A X A619,507,C,RS,5.85,17
W64Abm3 X A619bm3,507,C,RS,4.25,14
W9 X W13R X WR3 W26,507,C,RS,3.58,16
Wf9 X A635 X M14 X C123,507,C,RS,5.08,20
WM13R X WR3 X W23 X W26,507,C,RS,3.1,15
34A89,507,R,RS,9.72,28
A632 X W438,507,R,RS,4.78,30
A641Ht X Mo17,507,R,RS,6.91,29
B73 X Mo17,507,R,RS,2.55,31
F2F665,507,R,RS,3.86,35
M14 X W32 X W182B X W182D,507,R,RS,2.89,34
P0448R,507,R,RS,5.44,27
W64A X A619,507,R,RS,2.35,33
W64Abm3 X A619bm3,507,R,RS,2.66,25
W9 X W13R X WR3 W26,507,R,RS,4.64,26
Wf9 X A635 X M14 X C123,507,R,RS,4.16,32
WM13R X WR3 X W23 X W26,507,R,RS,2.63,36
34A89,509,B,LS,1.68,33
A632 X W438,509,B,LS,1.9,30
A641Ht X Mo17,509,B,LS,3.99,25
B73 X Mo17,509,B,LS,0,32
F2F665,509,B,LS,2.78,36
M14 X W32 X W182B X W182D,509,B,LS,2.99,34
P0448R,509,B,LS,2.39,26
W64A X A619,509,B,LS,1.29,31
W64Abm3 X A619bm3,509,B,LS,3.3,28
W9 X W13R X WR3 W26,509,B,LS,1.48,27
Wf9 X A635 X M14 X C123,509,B,LS,2.07,29
WM13R X WR3 X W23 X W26,509,B,LS,1.62,35
34A89,509,C,LS,5.27,17
A632 X W438,509,C,LS,0.83,19
A641Ht X Mo17,509,C,LS,2.43,16
B73 X Mo17,509,C,LS,0,20
F2F665,509,C,LS,4.92,22
M14 X W32 X W182B X W182D,509,C,LS,0.36,13
P0448R,509,C,LS,1.85,18
W64A X A619,509,C,LS,0.53,14
W64Abm3 X A619bm3,509,C,LS,1.54,21
W9 X W13R X WR3 W26,509,C,LS,1.14,23
Wf9 X A635 X M14 X C123,509,C,LS,2.51,15
WM13R X WR3 X W23 X W26,509,C,LS,0.28,24
34A89,509,R,LS,4.05,4
A632 X W438,509,R,LS,1.59,7
A641Ht X Mo17,509,R,LS,1.11,3
B73 X Mo17,509,R,LS,1.78,9
F2F665,509,R,LS,4.22,10
M14 X W32 X W182B X W182D,509,R,LS,0.92,1
P0448R,509,R,LS,0.67,8
W64A X A619,509,R,LS,1.52,2
W64Abm3 X A619bm3,509,R,LS,1.25,11
W9 X W13R X WR3 W26,509,R,LS,0.89,6
Wf9 X A635 X M14 X C123,509,R,LS,2.19,12
WM13R X WR3 X W23 X W26,509,R,LS,2.15,5
